"From,To,Platform,Vehicle,Distance_km,Duration_min,Fare_Low,Fare_High"
"Indore,Bhopal,Ola,Mini,190,240,2200,4800"
"Indore,Bhopal,Ola,Sedan,190,240,3000,5200"
"Indore,Bhopal,Ola,Auto,190,240,1500,2800"
"Indore,Bhopal,Uber,Go,190,240,2100,5000"
"Indore,Bhopal,Uber,Premier,190,240,3200,5500"
"Indore,Bhopal,Uber,Moto,190,240,1200,2000"
"Indore,Bhopal,Rapido,Bike,190,240,1100,1900"
"Indore,Bhopal,Rapido,Auto,190,240,1400,2500"
"Indore,Bhopal,RedBus,Ordinary,190,240,120,250"
"Indore,Bhopal,RedBus,AC,190,240,350,700"

"Delhi,Gurgaon,Ola,Mini,30,60,300,700"
"Delhi,Gurgaon,Ola,Sedan,30,60,400,850"
"Delhi,Gurgaon,Ola,Auto,30,60,180,350"
"Delhi,Gurgaon,Uber,Go,30,60,320,750"
"Delhi,Gurgaon,Uber,Premier,30,60,450,900"
"Delhi,Gurgaon,Uber,Moto,30,60,150,300"
"Delhi,Gurgaon,Rapido,Bike,30,60,140,280"
"Delhi,Gurgaon,Rapido,Auto,30,60,170,320"
"Delhi,Gurgaon,RedBus,Ordinary,30,60,20,60"
"Delhi,Gurgaon,RedBus,AC,30,60,150,300"

"Mumbai,Pune,Ola,Mini,150,180,1800,3500"
"Mumbai,Pune,Ola,Sedan,150,180,2500,4200"
"Mumbai,Pune,Ola,Auto,150,180,1200,2500"
"Mumbai,Pune,Uber,Go,150,180,1900,3700"
"Mumbai,Pune,Uber,Premier,150,180,2700,4500"
"Mumbai,Pune,Uber,Moto,150,180,900,1600"
"Mumbai,Pune,Rapido,Bike,150,180,850,1500"
"Mumbai,Pune,Rapido,Auto,150,180,1100,2200"
"Mumbai,Pune,RedBus,Ordinary,150,180,100,220"
"Mumbai,Pune,RedBus,AC,150,180,300,800"

"Bangalore,Chennai,Ola,Mini,350,420,3500,7000"
"Bangalore,Chennai,Ola,Sedan,350,420,4800,8200"
"Bangalore,Chennai,Ola,Auto,350,420,2500,5000"
"Bangalore,Chennai,Uber,Go,350,420,3700,7500"
"Bangalore,Chennai,Uber,Premier,350,420,5000,8500"
"Bangalore,Chennai,Uber,Moto,350,420,2000,3500"
"Bangalore,Chennai,Rapido,Bike,350,420,1800,3200"
"Bangalore,Chennai,Rapido,Auto,350,420,2300,4200"
"Bangalore,Chennai,RedBus,Ordinary,350,420,220,400"
"Bangalore,Chennai,RedBus,AC,350,420,600,1200"

"Hyderabad,Warangal,Ola,Mini,150,180,1600,3200"
"Hyderabad,Warangal,Ola,Sedan,150,180,2200,3800"
"Hyderabad,Warangal,Ola,Auto,150,180,1100,2300"
"Hyderabad,Warangal,Uber,Go,150,180,1700,3400"
"Hyderabad,Warangal,Uber,Premier,150,180,2400,4000"
"Hyderabad,Warangal,Uber,Moto,150,180,800,1400"
"Hyderabad,Warangal,Rapido,Bike,150,180,750,1300"
"Hyderabad,Warangal,Rapido,Auto,150,180,1000,2000"
"Hyderabad,Warangal,RedBus,Ordinary,150,180,90,200"
"Hyderabad,Warangal,RedBus,AC,150,180,250,600"
